127.0.0.1 - - [18/Aug/2015:20:31:35 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:02 -0300] "GET /MercadoDi/faces/lista-nome-fornecedor.xhtml HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:02 -0300] "GET /MercadoDi/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.2 HTTP/1.1" 200 63503
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:02 -0300] "GET /MercadoDi/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.2 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:02 -0300] "GET /MercadoDi/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.2 HTTP/1.1" 200 240240
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:02 -0300] "GET /MercadoDi/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 200 29186
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:02 -0300] "GET /MercadoDi/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.2 HTTP/1.1" 200 340589
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:05 -0300] "GET /MercadoDi/faces/javax.faces.resource/images/ui-icons_616161_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:05 -0300] "GET /MercadoDi/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:09 -0300] "GET /MercadoDi/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:09 -0300] "GET /MercadoDi/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png?ln=primefaces-aristo HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:11 -0300] "GET /MercadoDi/faces/cadastro-produto.xhtml HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:13 -0300] "POST /MercadoDi/faces/cadastro-produto.xhtml HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [18/Aug/2015:20:32:14 -0300] "POST /MercadoDi/faces/cadastro-produto.xhtml HTTP/1.1" 200 6725
